City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Iqaluit,63.7506,-68.5145,20.93,79,75,17.27,CA,1697434515
1,Ulsteinvik,62.3432,5.8487,43.75,86,100,8.99,NO,1697434516
2,Olyokminsk,60.3736,120.4264,34.0,67,100,8.01,RU,1697434516
3,Polyarny,69.1989,33.4478,40.55,92,99,26.93,RU,1697434517
4,La Mira Tumbiscatio,18.6833,-102.2833,71.71,91,100,2.95,MX,1697434517
5,Waitangi,-43.9535,-176.5597,52.83,76,69,3.0,NZ,1697434517
6,Port-aux-Français,-49.35,70.2167,35.92,95,100,17.34,TF,1697434518
7,Adamstown,-25.066,-130.1015,70.9,83,75,4.7,PN,1697434518
8,Ribeira Grande,38.5167,-28.7,69.78,84,47,3.0,PT,1697434519
9,Esim,4.8699,-2.2405,76.51,90,100,7.63,GH,1697434519
10,West Island,-12.1568,96.8225,84.18,65,90,12.66,CC,1697434519
11,Kerikeri,-35.2268,173.9474,66.9,73,60,1.99,NZ,1697434520
12,Guarapari,-20.6667,-40.4975,71.89,95,100,3.69,BR,1697434520
13,Amga,60.8953,131.9608,24.98,53,5,1.01,RU,1697434521
14,Jinchang,38.4953,102.1739,64.26,18,11,9.26,CN,1697434317
15,Punta Alta,-38.8759,-62.0736,58.06,84,100,13.27,AR,1697434521
16,Hawaiian Paradise Park,19.5933,-154.9731,76.51,92,100,5.75,US,1697434522
17,Poções,-14.5297,-40.3653,65.41,81,66,7.61,BR,1697434522
18,Edinburgh of the Seven Seas,-37.0676,-12.3116,53.49,69,9,16.67,SH,1697434523
19,Margaret River,-33.95,115.0667,77.41,39,80,12.33,AU,1697434523
20,Khasab,26.1799,56.2477,90.82,56,0,1.72,OM,1697434523
21,Sechura,-5.5569,-80.8222,68.81,79,24,10.83,PE,1697434524
22,Katsuura,35.1333,140.3,70.99,58,2,6.87,JP,1697434524
23,Kavieng,-2.5744,150.7967,83.89,70,100,3.6,PG,1697434525
24,Albany,42.6001,-73.9662,48.4,82,100,8.01,US,1697434345
25,Kingston,17.997,-76.7936,83.35,88,20,4.61,JM,1697434499
26,Papatowai,-46.5619,169.4708,47.98,90,93,8.57,NZ,1697434526
27,Port Alfred,-33.5906,26.891,63.18,92,100,4.0,ZA,1697434526
28,Stanley,54.868,-1.6985,37.76,95,0,1.14,GB,1697434527
29,Avarua,-21.2078,-159.775,71.65,60,100,4.61,CK,1697434527
30,Arraial do Cabo,-22.9661,-42.0278,71.44,95,85,17.13,BR,1697434528
31,Nuku'alofa,-21.1333,-175.2,75.54,78,20,14.97,TO,1697434528
32,Moultrie,31.1799,-83.7891,57.31,88,100,4.61,US,1697434529
33,Franklin,39.9667,-83.0166,48.24,90,100,8.05,US,1697434529
34,Bayan,46.0833,127.4,49.42,24,0,17.6,CN,1697434530
35,Cambria,35.5641,-121.0808,68.97,98,0,1.99,US,1697434530
36,Aasiaat,68.7098,-52.8699,17.22,82,100,3.27,GL,1697434530
37,Elverum,60.8819,11.5623,31.35,81,19,2.77,NO,1697434531
38,Sitka,57.0531,-135.33,51.69,87,75,4.61,US,1697434398
39,Udachny,66.4167,112.4,23.45,92,100,13.33,RU,1697434532
40,Sinabang,2.4803,96.3801,81.14,79,88,6.73,ID,1697434532
41,Quellón,-43.1167,-73.6167,43.63,92,91,7.63,CL,1697434533
42,Pápa,47.33,17.4674,39.13,87,0,6.91,HU,1697434533
43,Opuwo,-18.0607,13.84,73.2,18,46,3.83,NA,1697434533
44,Isafjordur,66.0755,-23.124,34.75,92,100,16.53,IS,1697434534
45,Dabola,10.75,-11.1167,70.66,87,99,3.15,GN,1697434534
46,Nandyāl,15.4833,78.4833,90.99,44,36,6.13,IN,1697434311
47,Sisimiut,66.9395,-53.6735,25.05,75,100,1.92,GL,1697434535
48,Olonkinbyen,70.9221,-8.7187,32.16,68,100,11.03,SJ,1697434535
49,Tura,25.5198,90.2201,82.38,58,3,3.0,IN,1697434536
50,Nizhneudinsk,54.9076,99.0276,39.02,96,100,5.99,RU,1697434536
51,Uturoa,-16.7333,-151.4333,78.22,78,26,15.1,PF,1697434537
52,Hermanus,-34.4187,19.2345,63.46,79,85,14.5,ZA,1697434537
53,Iskateley,67.6803,53.1512,33.03,87,97,20.0,RU,1697434537
54,Port Elizabeth,-33.918,25.5701,63.32,94,75,14.97,ZA,1697434333
55,Grytviken,-54.2811,-36.5092,31.89,92,99,10.71,GS,1697434539
56,Puerto Baquerizo Moreno,-0.9,-89.6,74.16,83,89,8.68,EC,1697434539
57,Vilyuchinsk,52.9306,158.4028,48.47,96,100,9.53,RU,1697434539
58,Illizi,26.4833,8.4667,66.0,25,5,3.15,DZ,1697434540
59,Kas,36.2018,29.6377,74.44,47,0,6.08,TR,1697434540
60,Bardai,11.65,7.2333,70.84,45,88,5.19,NG,1697434540
61,Sandnessjøen,66.0217,12.6316,44.71,70,75,18.41,NO,1697434541
62,La Ronge,55.1001,-105.2842,50.25,66,75,10.36,CA,1697434541
63,Bredasdorp,-34.5322,20.0403,63.18,84,45,8.72,ZA,1697434541
64,Punta Arenas,-53.15,-70.9167,41.11,70,40,10.36,CL,1697434333
65,Diu,20.7141,70.9822,86.88,53,1,5.95,IN,1697434542
66,Wailua Homesteads,22.0669,-159.378,81.03,87,75,8.05,US,1697434543
67,Muravlenko,63.7898,74.523,34.9,97,100,19.48,RU,1697434543
68,Bamboo Flat,11.7,92.7167,86.09,74,40,9.22,IN,1697434543
69,Bambanglipuro,-7.95,110.2833,85.39,61,86,17.47,ID,1697434544
70,Malanje,-9.5402,16.341,69.17,88,97,1.79,AO,1697434544
71,East London,-33.0153,27.9116,61.74,100,100,16.11,ZA,1697434545
72,Invercargill,-46.4,168.35,50.02,83,91,5.01,NZ,1697434545
73,Lukoyanov,55.0277,44.4786,51.37,61,64,10.2,RU,1697434545
74,Lihue,21.9789,-159.3672,81.64,86,75,8.05,US,1697434310
75,Karratha,-20.7377,116.8463,97.11,17,0,17.67,AU,1697434546
76,Amsterdam-Zuidoost,52.3075,4.9722,48.02,96,40,4.0,NL,1697434547
77,Tsiombe,-25.3,45.4833,78.17,52,94,3.69,MG,1697434548
78,Glace Bay,46.1969,-59.957,53.98,95,100,31.07,CA,1697434270
79,Boali,4.8005,18.1275,70.02,95,99,1.52,CF,1697434548
80,Lompoc,34.6391,-120.4579,58.93,87,0,11.99,US,1697434549
81,Kulhudhuffushi,6.6221,73.07,83.1,70,45,12.35,MV,1697434549
82,College,64.8569,-147.8028,34.9,90,40,4.61,US,1697434550
83,Anadyr,64.75,177.4833,34.3,93,75,6.71,RU,1697434550
84,Longyearbyen,78.2186,15.6401,26.44,68,75,20.71,SJ,1697434495
85,Tres Isletas,-26.3407,-60.4321,81.79,52,80,7.38,AR,1697434551
86,Bo`ka,40.8108,69.1986,61.21,27,9,2.82,UZ,1697434551
87,Saint-Philippe,-21.3585,55.7679,80.19,75,16,8.48,RE,1697434552
88,Lerwick,60.1545,-1.1494,50.0,79,99,15.59,GB,1697434552
89,Camaná,-16.6228,-72.7111,64.31,89,58,4.79,PE,1697434553
90,Mwene-Ditu,-7.0,23.45,74.16,68,94,0.94,CD,1697434553
91,Mayqayyng,51.4625,75.7986,51.87,46,18,15.57,KZ,1697434553
92,Lebu,-37.6167,-73.65,46.06,85,1,14.63,CL,1697434286
93,Bethel,41.3712,-73.414,46.9,84,40,0.0,US,1697434554
94,Nouadhibou,20.931,-17.0347,75.79,59,66,10.74,MR,1697434555
95,Mhamid,29.82,-5.72,71.73,26,70,6.44,MA,1697434555
96,Yarmouth,41.7057,-70.2286,55.45,76,100,18.01,US,1697434556
97,Poronaysk,49.2167,143.1167,52.29,75,100,23.42,RU,1697434556
98,Waajid,3.8096,43.2463,83.97,55,84,11.45,SO,1697434556
99,Vilhena,-12.7406,-60.1458,74.25,64,37,2.42,BR,1697434557
